,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
10,MYH15,A0A3Q1LHR1,A0A3Q1LHR1_BOVIN,Myosin heavy chain 15,MYH15,Bos taurus (Bovine),Unreviewed,na,Actin-binding. Motor protein. Myosin,na,ATP-binding. Nucleotide-binding
11,CIP2A,Q2HJ27,MYC_BOVIN,Myc proto-oncogene protein,MYC,Bos taurus (Bovine),Reviewed,"activation of cysteine-type endopeptidase activity involved in apoptotic process. cellular iron ion homeostasis. cellular response to DNA damage stimulus. chromatin remodeling. chromosome organization. intrinsic apoptotic signaling pathway. MAPK cascade. negative regulation of apoptotic process. negative regulation of cell division. negative regulation of monocyte differentiation. negative regulation of stress-activated MAPK cascade. positive regulation of cell population proliferation. positive regulation of cysteine-type endopeptidase activity involved in apoptotic process. positive regulation of DNA biosynthetic process. positive regulation of epithelial cell proliferation. positive regulation of fibroblast proliferation. positive regulation of response to DNA damage stimulus. positive regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II. regulation of apoptotic process. regulation of somatic stem cell population maintenance. regulation of telomere maintenance. regulation of transcription, DNA-templated. regulation of transcription by RNA polymerase II. response to drug. response to gamma radiation. response to radiation",Activator. DNA-binding,Transcription. Transcription regulation,na
12,DZIP3,F6RVN5,F6RVN5_BOVIN,RING-type E3 ubiquitin transferase,DZIP3,Bos taurus (Bovine),Unreviewed,protein polyubiquitination,Transferase,na,Metal-binding. Zinc
13,TRAT1,P23727,P85A_BOVIN,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,Bos taurus (Bovine),Reviewed,cellular glucose homeostasis. cellular response to insulin stimulus. growth hormone receptor signaling pathway. insulin-like growth factor receptor signaling pathway. insulin receptor signaling pathway. negative regulation of apoptotic process. phosphatidylinositol 3-kinase signaling. phosphatidylinositol phosphorylation. positive regulation of endoplasmic reticulum unfolded protein response. positive regulation of glucose import. positive regulation of protein import into nucleus. positive regulation of protein localization to plasma membrane. positive regulation of RNA splicing. positive regulation of transcription by RNA polymerase II. protein stabilization. protein transport. regulation of phosphatidylinositol 3-kinase activity. response to endoplasmic reticulum stress. substrate adhesion-dependent cell spreading,na,Protein transport. Stress response. Transport,na
14,MORC1,A0A4W2HUI0,A0A4W2HUI0_BOBOX,CW-type domain-containing protein,MORC1,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,"behavioral fear response. DNA hypermethylation. DNA methylation involved in gamete generation. negative regulation of DNA-templated transcription, initiation. negative regulation of transposition. regulation of gene expression, epigenetic. spermatogenesis",na,na,Metal-binding. Zinc
15,C1H3orf85,na,na,na,na,na,na,na,na,na,na
16,LOC112448290,na,na,na,na,na,na,na,na,na,na
17,LOC101903052,na,na,na,na,na,na,na,na,na,na
18,DPPA2,F1MQI2,F1MQI2_BOVIN,SAP domain-containing protein,DPPA2,Bos taurus (Bovine),Unreviewed,na,na,Transcription. Transcription regulation,na
19,DPPA4,Q2YDF9,PCGF1_BOVIN,Polycomb group RING finger protein 1,PCGF1,Bos taurus (Bovine),Reviewed,histone H2A-K119 monoubiquitination,Repressor,Transcription. Transcription regulation,Metal-binding. Zinc
20,LOC100337136,na,na,na,na,na,na,na,na,na,na
21,LOC783844,na,na,na,na,na,na,na,na,na,na
22,RTP4,P79350,OPRM_BOVIN,Mu-type opioid receptor,OPRM1,Bos taurus (Bovine),Reviewed,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway. negative regulation of cAMP-mediated signaling. negative regulation of cytosolic calcium ion concentration. negative regulation of nitric oxide biosynthetic process. negative regulation of Wnt protein secretion. opioid receptor signaling pathway. phospholipase C-activating G protein-coupled receptor signaling pathway. positive regulation of ERK1 and ERK2 cascade. positive regulation of neurogenesis. regulation of NMDA receptor activity. sensory perception of pain,G-protein coupled receptor. Receptor. Transducer,na,na
23,MASP1,Q17QH6,COL11_BOVIN,Collectin-11,COLEC11,Bos taurus (Bovine),Reviewed,"antimicrobial humoral response. complement activation, lectin pathway. developmental process. multicellular organism development",Developmental protein,Immunity. Innate immunity,Calcium. Lectin. Mannose-binding. Metal-binding
24,RTP1,E1BCB2,E1BCB2_BOVIN,Receptor transporter protein 1,RTP1,Bos taurus (Bovine),Unreviewed,detection of chemical stimulus involved in sensory perception of bitter taste. protein insertion into membrane. protein targeting to membrane,na,na,na
25,LOC100847189,na,na,na,na,na,na,na,na,na,na
26,ST6GAL1,A0A3Q1M347,A0A3Q1M347_BOVIN,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,Bos taurus (Bovine),Unreviewed,N-acetylneuraminate metabolic process. protein N-linked glycosylation via asparagine,Glycosyltransferase. Transferase,na,na
27,MIR2285K-3,na,na,na,na,na,na,na,na,na,na
28,ADIPOQ,Q3Y5Z3,ADIPO_BOVIN,Adiponectin,ADIPOQ,Bos taurus (Bovine),Reviewed,"brown fat cell differentiation. cellular response to drug. cellular response to insulin stimulus. detection of oxidative stress. fatty acid beta-oxidation. fatty acid oxidation. glucose homeostasis. glucose metabolic process. low-density lipoprotein particle clearance. negative regulation of blood pressure. negative regulation of cell migration. negative regulation of DNA biosynthetic process. negative regulation of ERK1 and ERK2 cascade. negative regulation of fat cell differentiation. negative regulation of gluconeogenesis. negative regulation of granulocyte differentiation. negative regulation of heterotypic cell-cell adhesion. negative regulation of I-kappaB kinase/NF-kappaB signaling. negative regulation of inflammatory response. negative regulation of intracellular protein transport. negative regulation of macrophage derived foam cell differentiation. negative regulation of macrophage differentiation. negative regulation of MAP kinase activity. negative regulation of metanephric mesenchymal cell migration. negative regulation of phagocytosis. negative regulation of platelet-derived growth factor receptor-alpha signaling pathway. negative regulation of platelet-derived growth factor receptor signaling pathway. negative regulation of protein autophosphorylation. negative regulation of receptor binding. negative regulation of synaptic transmission. negative regulation of transcription, DNA-templated. negative regulation of tumor necrosis factor-mediated signaling pathway. negative regulation of tumor necrosis factor production. negative regulation of vascular associated smooth muscle cell migration. negative regulation of vascular associated smooth muscle cell proliferation. positive regulation of cAMP-dependent protein kinase activity. positive regulation of cholesterol efflux. positive regulation of fatty acid metabolic process. positive regulation of glucose import. positive regulation of glycogen (starch) synthase activity. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of interleukin-8 production. positive regulation of lipid transporter activity. positive regulation of metanephric glomerular visceral epithelial cell development. positive regulation of monocyte chemotactic protein-1 production. positive regulation of myeloid cell apoptotic process. positive regulation of protein kinase A signaling. positive regulation of protein phosphorylation. positive regulation of renal albumin absorption. positive regulation of signal transduction. protein localization to plasma membrane. regulation of glucose metabolic process. response to glucose. response to tumor necrosis factor",Hormone,na,na
29,RFC4,A0A3Q1M1J3,A0A3Q1M1J3_BOVIN,Replication factor C subunit 4,RFC4,Bos taurus (Bovine),Unreviewed,DNA-dependent DNA replication. DNA repair. positive regulation of DNA-directed DNA polymerase activity,na,na,ATP-binding. Nucleotide-binding
30,EIF4A2,Q3SZ65,IF4A2_BOVIN,Eukaryotic initiation factor 4A-II,EIF4A2,Bos taurus (Bovine),Reviewed,na,Helicase. Hydrolase. Initiation factor. RNA-binding,Protein biosynthesis,ATP-binding. Nucleotide-binding
31,MIR1248-1,na,na,na,na,na,na,na,na,na,na
32,KNG1,P01044,KNG1_BOVIN,Kininogen-1,KNG1,Bos taurus (Bovine),Reviewed,blood coagulation. inflammatory response. negative regulation of blood coagulation. negative regulation of endopeptidase activity. positive regulation of cytosolic calcium ion concentration. vasodilation,Protease inhibitor. Thiol protease inhibitor. Vasoactive. Vasodilator,Blood coagulation. Hemostasis. Inflammatory response,na
33,HRG,P33433,HRG_BOVIN,Histidine-rich glycoprotein,HRG,Bos taurus (Bovine),Reviewed,defense response to fungus. fibrinolysis. heme transport. negative regulation of angiogenesis. negative regulation of blood vessel endothelial cell migration. negative regulation of cell adhesion. negative regulation of cell adhesion mediated by integrin. negative regulation of cell growth. negative regulation of cell population proliferation. negative regulation of endopeptidase activity. negative regulation of endothelial cell chemotaxis. negative regulation of fibrinolysis. negative regulation of lamellipodium assembly. negative regulation of vascular endothelial growth factor signaling pathway. platelet activation. positive regulation of apoptotic process. positive regulation of blood vessel remodeling. positive regulation of focal adhesion assembly. positive regulation of immune response to tumor cell. regulation of actin cytoskeleton organization. regulation of blood coagulation. regulation of gene expression. regulation of peptidyl-tyrosine phosphorylation. regulation of platelet activation. regulation of protein-containing complex assembly,Heparin-binding,Blood coagulation. Fibrinolysis. Hemostasis,Copper. Zinc
34,FETUB,Q58D62,FETUB_BOVIN,Fetuin-B,FETUB,Bos taurus (Bovine),Reviewed,binding of sperm to zona pellucida. negative regulation of endopeptidase activity. single fertilization,Metalloenzyme inhibitor. Metalloprotease inhibitor. Protease inhibitor,Fertilization,na
35,AHSG,P12763,FETUA_BOVIN,Alpha-2-HS-glycoprotein,AHSG,Bos taurus (Bovine),Reviewed,acute-phase response. negative regulation of bone mineralization. negative regulation of endopeptidase activity. ossification. positive regulation of phagocytosis. regulation of inflammatory response,na,Mineral balance,na
36,LOC101906884,na,na,na,na,na,na,na,na,na,na
37,DNAJB11,Q3ZBA6,DJB11_BOVIN,DnaJ homolog subfamily B member 11,DNAJB11,Bos taurus (Bovine),Reviewed,mRNA modification. negative regulation of neurogenesis. protein folding. protein maturation,Chaperone,na,na
38,TBCCD1,A4IF93,TBCC1_BOVIN,TBCC domain-containing protein 1,TBCCD1,Bos taurus (Bovine),Reviewed,cell morphogenesis. maintenance of centrosome location. maintenance of Golgi location. regulation of cell migration. regulation of cell shape,na,na,na
39,CRYGS,P06504,CRYGS_BOVIN,Gamma-crystallin S,CRYGS,Bos taurus (Bovine),Reviewed,lens development in camera-type eye. morphogenesis of an epithelium. visual perception,Eye lens protein,na,na
40,DGKG,A0A3Q1LYT4,A0A3Q1LYT4_BOVIN,Diacylglycerol kinase,DGKG,Bos taurus (Bovine),Unreviewed,diacylglycerol metabolic process. intracellular signal transduction. lipid phosphorylation. negative regulation of protein kinase C signaling. phosphatidic acid biosynthetic process. protein kinase C-activating G protein-coupled receptor signaling pathway. regulation of dendrite development,Kinase. Transferase,na,ATP-binding. Calcium. Nucleotide-binding. Zinc
41,ETV5,A0A4W2D3G5,A0A4W2D3G5_BOBOX,ETS domain-containing protein,ETV5,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,cellular response to oxidative stress. locomotory behavior. negative regulation of transcription by RNA polymerase II. neuromuscular synaptic transmission. regulation of branching involved in mammary gland duct morphogenesis. regulation of synapse organization. skeletal muscle acetylcholine-gated channel clustering,DNA-binding,na,na
42,LOC616971,na,na,na,na,na,na,na,na,na,na
43,TRA2B,Q3ZBT6,TRA2B_BOVIN,Transformer-2 protein homolog beta,TRA2B,Bos taurus (Bovine),Reviewed,"cellular response to glucose stimulus. cerebral cortex regionalization. embryonic brain development. mRNA splicing, via spliceosome. positive regulation of mRNA splicing, via spliceosome. regulation of alternative mRNA splicing, via spliceosome",Activator. Repressor. RNA-binding,mRNA processing. mRNA splicing,na
44,TRNAE-UUC,na,na,na,na,na,na,na,na,na,na
45,IGF2BP2,Q28141,DHX9_BOVIN,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome. cellular response to exogenous dsRNA. cellular response to tumor necrosis factor. CRD-mediated mRNA stabilization. DNA duplex unwinding. DNA replication. DNA-templated transcription, termination. DNA-templated viral transcription. G-quadruplex DNA unwinding. inflammatory response. innate immune response. mRNA transport. positive regulation of cytoplasmic translation. positive regulation of DNA repair. positive regulation of DNA replication. positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity. positive regulation of fibroblast proliferation. positive regulation of gene silencing by miRNA. positive regulation of interferon-alpha production. positive regulation of interferon-beta production. positive regulation of interleukin-6 production. positive regulation of NF-kappaB transcription factor activity. positive regulation of polysome binding. positive regulation of response to cytokine stimulus. positive regulation of RNA export from nucleus. positive regulation of transcription by RNA polymerase II. positive regulation of tumor necrosis factor production. positive regulation of viral transcription. positive regulation of viral translation. protein localization to cytoplasmic stress granule. regulation of cytoplasmic translation. regulation of mRNA processing. rhythmic process. RNA secondary structure unwinding. small RNA loading onto RISC. targeting of mRNA for destruction involved in RNA interference",Activator. DNA-binding. Helicase. Hydrolase. RNA-binding,Biological rhythms. DNA replication. Immunity. Inflammatory response. Innate immunity. mRNA processing. mRNA splicing. mRNA transport. RNA-mediated gene silencing. Transcription. Transcription regulation. Transcription termination. Translation regulation. Transport,ATP-binding. Manganese. Metal-binding. Nucleotide-binding
46,SENP2,P18246,CXA1_BOVIN,Gap junction alpha-1 protein,GJA1,Bos taurus (Bovine),Reviewed,adult heart development. ATP transport. blood vessel morphogenesis. bone development. bone remodeling. cell-cell signaling. cell communication. cellular protein localization. embryonic heart tube development. epithelial cell maturation. establishment of mitotic spindle orientation. heart development. heart looping. in utero embryonic development. microtubule-based transport. negative regulation of cell growth. negative regulation of cell population proliferation. negative regulation of gonadotropin secretion. negative regulation of trophoblast cell migration. neuron migration. neuron projection morphogenesis. positive regulation of gene expression. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of mesodermal cell differentiation. positive regulation of morphogenesis of an epithelium. positive regulation of protein catabolic process. positive regulation of stem cell proliferation. positive regulation of striated muscle tissue development. positive regulation of vascular associated smooth muscle cell proliferation. protein complex oligomerization. regulation of apoptotic process. regulation of heart contraction. response to pH. signal transduction. skeletal muscle tissue regeneration. spermatogenesis,na,na,na
47,LIPH,Q3SZ79,LIPC_BOVIN,Hepatic triacylglycerol lipase,LIPC,Bos taurus (Bovine),Reviewed,cholesterol homeostasis. cholesterol metabolic process. cholesterol transport. fatty acid biosynthetic process. lipid catabolic process. triglyceride catabolic process,Heparin-binding. Hydrolase,Lipid degradation. Lipid metabolism,na
48,TMEM41A,Q08D99,TM41A_BOVIN,Transmembrane protein 41A,TMEM41A,Bos taurus (Bovine),Reviewed,na,na,na,na
49,MAP3K13,A7MBB4,M3K13_BOVIN,Mitogen-activated protein kinase kinase kinase 13,MAP3K13,Bos taurus (Bovine),Reviewed,activation of JUN kinase activity. positive regulation of NF-kappaB transcription factor activity. protein autophosphorylation,Kinase. Serine/threonine-protein kinase. Transferase,na,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding
50,EHHADH,E1BMH4,E1BMH4_BOVIN,Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,EHHADH,Bos taurus (Bovine),Unreviewed,fatty acid beta-oxidation,na,Fatty acid metabolism. Lipid metabolism,NAD
51,EPHB1,F1MII5,F1MII5_BOVIN,Receptor protein-tyrosine kinase,EPHB1,Bos taurus (Bovine),Unreviewed,axon guidance. camera-type eye morphogenesis. cell adhesion. cell chemotaxis. central nervous system projection neuron axonogenesis. dendritic spine morphogenesis. detection of temperature stimulus involved in sensory perception of pain. establishment of cell polarity. modulation of chemical synaptic transmission. multicellular organism development. negative regulation of satellite cell differentiation. negative regulation of skeletal muscle satellite cell proliferation. neural precursor cell proliferation. optic nerve morphogenesis. positive regulation of kinase activity. positive regulation of synapse assembly. retinal ganglion cell axon guidance. skeletal muscle satellite cell activation. transmembrane receptor protein tyrosine kinase signaling pathway,Kinase. Receptor. Transferase. Tyrosine-protein kinase,Cell adhesion,ATP-binding. Nucleotide-binding
52,KY,P80025,PERL_BOVIN,Lactoperoxidase,LPO,Bos taurus (Bovine),Reviewed,antibacterial humoral response. defense response to bacterium. hydrogen peroxide catabolic process. response to oxidative stress,Antibiotic. Antimicrobial. Oxidoreductase. Peroxidase,Hydrogen peroxide,Calcium. Heme. Iron. Metal-binding
53,CEP63,Q5E9Y0,CDK2_BOVIN,Cyclin-dependent kinase 2,CDK2,Bos taurus (Bovine),Reviewed,"cell division. DNA repair. G1/S transition of mitotic cell cycle. meiotic cell cycle. negative regulation of transcription by RNA polymerase II. peptidyl-serine phosphorylation. positive regulation of cell population proliferation. positive regulation of DNA-dependent DNA replication initiation. positive regulation of transcription, DNA-templated. potassium ion transport. protein phosphorylation. regulation of G2/M transition of mitotic cell cycle. regulation of gene expression. signal transduction",Kinase. Serine/threonine-protein kinase. Transferase,Cell cycle. Cell division. DNA damage. DNA repair. Meiosis. Mitosis,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding
54,ANAPC13,Q2NKV2,APC13_BOVIN,Anaphase-promoting complex subunit 13,ANAPC13,Bos taurus (Bovine),Reviewed,cell cycle. cell division. protein K11-linked ubiquitination,na,Cell cycle. Cell division. Mitosis. Ubl conjugation pathway,na
55,AMOTL2,F1MRK3,AMOL2_BOVIN,Angiomotin-like protein 2,AMOTL2,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization. angiogenesis. establishment of cell polarity involved in ameboidal cell migration. hippo signaling. regulation of cell migration. Wnt signaling pathway,na,Wnt signaling pathway,na
56,RYK,A0A3Q1N0Q2,A0A3Q1N0Q2_BOVIN,Receptor like tyrosine kinase,RYK,Bos taurus (Bovine),Unreviewed,axonogenesis. chemorepulsion of dopaminergic neuron axon. commissural neuron axon guidance. corpus callosum development. midbrain dopaminergic neuron differentiation. multicellular organism development. negative regulation of axon extension involved in axon guidance. peptidyl-tyrosine phosphorylation. planar cell polarity pathway involved in axon guidance. positive regulation of kinase activity. positive regulation of MAPK cascade. skeletal system morphogenesis. transmembrane receptor protein tyrosine kinase signaling pathway,na,na,na
57,SLCO2A1,F1MQ45,F1MQ45_BOVIN,Solute carrier organic anion transporter family member,SLCO2A1,Bos taurus (Bovine),Unreviewed,prostaglandin transport. sodium-independent organic anion transport,na,Ion transport. Transport,na
58,RAB6B,A6QR46,RAB6B_BOVIN,Ras-related protein Rab-6B,RAB6B,Bos taurus (Bovine),Reviewed,protein transport. vesicle-mediated transport,na,ER-Golgi transport. Protein transport. Transport,GTP-binding. Nucleotide-binding
59,TF,P00711,LALBA_BOVIN,Alpha-lactalbumin,LALBA,Bos taurus (Bovine),Reviewed,lactose biosynthetic process. response to 11-deoxycorticosterone. response to dehydroepiandrosterone. response to estradiol. response to progesterone,Milk protein,Lactose biosynthesis,Calcium. Metal-binding
60,LOC525947,A0A3Q1NEQ0,A0A3Q1NEQ0_BOVIN,Uncharacterized protein,LOC525947,Bos taurus (Bovine),Unreviewed,antibacterial humoral response. iron ion transport,na,na,na
61,TOPBP1,A7Z019,SMCA4_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling. nervous system development. positive regulation of transcription by RNA polymerase II,Activator. Chromatin regulator. Helicase. Hydrolase. Repressor. RNA-binding,Neurogenesis. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
62,RIPK4,A6QLV0,A6QLV0_BOVIN,RIPK4 protein,RIPK4,Bos taurus (Bovine),Unreviewed,morphogenesis of an epithelium. positive regulation of NF-kappaB transcription factor activity,na,na,ATP-binding. Nucleotide-binding
63,PRDM15,E1BEG7,E1BEG7_BOVIN,PR/SET domain 15,PRDM15,Bos taurus (Bovine),Unreviewed,negative regulation of MAPK cascade. positive regulation of canonical Wnt signaling pathway. positive regulation of transcription by RNA polymerase II. regulation of stem cell division. regulation of transcription by RNA polymerase II,Methyltransferase. Transferase,na,Metal-binding. Zinc
64,C2CD2,A0A4W2EA77,A0A4W2EA77_BOBOX,SMP_C2CD2L domain-containing protein,C2CD2L,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,positive regulation of insulin secretion involved in cellular response to glucose stimulus,na,na,na
65,ZBTB21,A2VDQ3,A2VDQ3_BOVIN,ZNF295 protein,ZBTB21,Bos taurus (Bovine),Unreviewed,regulation of transcription by RNA polymerase II,na,na,Metal-binding. Zinc
66,UMODL1,F1MN54,F1MN54_BOVIN,Uromodulin like 1,UMODL1,Bos taurus (Bovine),Unreviewed,neutrophil migration,na,na,na
67,ABCG1,P79132,CAV1_BOVIN,Caveolin-1,CAV1,Bos taurus (Bovine),Reviewed,angiogenesis. angiotensin-activated signaling pathway involved in heart process. apoptotic signaling pathway. basement membrane organization. calcium ion transport. caveola assembly. caveolin-mediated endocytosis. cell differentiation. cellular response to exogenous dsRNA. cellular response to hyperoxia. cellular response to transforming growth factor beta stimulus. cholesterol homeostasis. inactivation of MAPK activity. insulin receptor internalization. lactation. lipid storage. mammary gland involution. membrane depolarization. negative regulation of anoikis. negative regulation of canonical Wnt signaling pathway. negative regulation of cytokine-mediated signaling pathway. negative regulation of endothelial cell proliferation. negative regulation of epithelial cell differentiation. negative regulation of inward rectifier potassium channel activity. negative regulation of necroptotic process. negative regulation of nitric oxide biosynthetic process. negative regulation of nitric-oxide synthase activity. negative regulation of peptidyl-serine phosphorylation. negative regulation of peptidyl-tyrosine autophosphorylation. negative regulation of pinocytosis. negative regulation of protein binding. negative regulation of protein tyrosine kinase activity. negative regulation of protein ubiquitination. negative regulation of transcription by RNA polymerase II. negative regulation of transforming growth factor beta receptor signaling pathway. negative regulation of tyrosine phosphorylation of STAT protein. nitric oxide homeostasis. positive regulation of calcium ion transport into cytosol. positive regulation of canonical Wnt signaling pathway. positive regulation of cell adhesion molecule production. positive regulation of cell migration. positive regulation of cholesterol efflux. positive regulation of cold-induced thermogenesis. positive regulation of ER-associated ubiquitin-dependent protein catabolic process. positive regulation of extrinsic apoptotic signaling pathway. positive regulation of gap junction assembly. positive regulation of gene expression. positive regulation of intrinsic apoptotic signaling pathway. positive regulation of NF-kappaB transcription factor activity. positive regulation of peptidyl-serine phosphorylation. positive regulation of protein binding. positive regulation of protein ubiquitination. positive regulation of toll-like receptor 3 signaling pathway. positive regulation of vasoconstriction. posttranscriptional regulation of gene expression. protein transport. receptor internalization. receptor internalization involved in canonical Wnt signaling pathway. receptor-mediated endocytosis of virus by host cell. regulation of blood coagulation. regulation of cell communication by electrical coupling involved in cardiac conduction. regulation of cytosolic calcium ion concentration. regulation of entry of bacterium into host cell. regulation of fatty acid metabolic process. regulation of heart rate by cardiac conduction. regulation of membrane repolarization during action potential. regulation of ruffle assembly. regulation of smooth muscle contraction. regulation of the force of heart contraction by chemical signal. regulation of ventricular cardiac muscle cell action potential. response to bacterium. response to calcium ion. response to estrogen. response to hypoxia. response to ischemia. response to progesterone. skeletal muscle tissue development. T cell costimulation. triglyceride metabolic process. vasculogenesis. vasoconstriction,na,na,na
68,TFF3,A8YXX7,TFF3_BOVIN,Trefoil factor 3,TFF3,Bos taurus (Bovine),Reviewed,maintenance of gastrointestinal epithelium. regulation of glucose metabolic process,na,na,na
69,TFF2,F6QX08,F6QX08_BOVIN,Trefoil factor 2,TFF2,Bos taurus (Bovine),Unreviewed,chemokine-mediated signaling pathway. maintenance of gastrointestinal epithelium. negative regulation of gastric acid secretion,na,na,na
70,TFF1,P49884,ESR1_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process. antral ovarian follicle growth. cellular response to estradiol stimulus. cellular response to estrogen stimulus. epithelial cell development. epithelial cell proliferation involved in mammary gland duct elongation. intracellular estrogen receptor signaling pathway. intracellular steroid hormone receptor signaling pathway. male gonad development. mammary gland alveolus development. mammary gland branching involved in pregnancy. negative regulation of DNA-binding transcription factor activity. negative regulation of I-kappaB kinase/NF-kappaB signaling. negative regulation of production of miRNAs involved in gene silencing by miRNA. negative regulation of transcription by RNA polymerase II. phospholipase C-activating G protein-coupled receptor signaling pathway. positive regulation of cytosolic calcium ion concentration. positive regulation of DNA-binding transcription factor activity. positive regulation of fibroblast proliferation. positive regulation of nitric oxide biosynthetic process. positive regulation of nitric-oxide synthase activity. positive regulation of phospholipase C activity. positive regulation of RNA polymerase II transcription preinitiation complex assembly. positive regulation of transcription, DNA-templated. prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis. prostate epithelial cord elongation. protein localization to chromatin. regulation of apoptotic process. regulation of branching involved in prostate gland morphogenesis. regulation of inflammatory response. regulation of toll-like receptor signaling pathway. regulation of transcription by RNA polymerase II. stem cell differentiation. uterus development. vagina development",Activator. DNA-binding. Receptor,Transcription. Transcription regulation,Lipid-binding. Metal-binding. Steroid-binding. Zinc
71,TMPRSS3,F1MYZ1,F1MYZ1_BOVIN,Transmembrane serine protease 3,TMPRSS3,Bos taurus (Bovine),Unreviewed,cellular sodium ion homeostasis. sensory perception of sound,Hydrolase. Protease. Serine protease,na,na
72,UBASH3A,F1MYY9,F1MYY9_BOVIN,Ubiquitin associated and SH3 domain containing A,UBASH3A,Bos taurus (Bovine),Unreviewed,negative regulation of T cell receptor signaling pathway. regulation of cytokine production,na,na,na
73,RSPH1,A0A3Q1M905,A0A3Q1M905_BOVIN,Radial spoke head component 1,RSPH1,Bos taurus (Bovine),Unreviewed,axoneme assembly. spermatid development,na,na,na
74,SLC37A1,E1B9Q0,E1B9Q0_BOVIN,Solute carrier family 37 member 1,SLC37A1,Bos taurus (Bovine),Unreviewed,glucose-6-phosphate transport. phosphate ion transmembrane transport,na,na,na
75,PDE9A,A0A3Q1N569,A0A3Q1N569_BOVIN,Phosphodiesterase,PDE9A,Bos taurus (Bovine),Unreviewed,cGMP catabolic process. cGMP-mediated signaling. positive regulation of cardiac muscle hypertrophy. signal transduction,Hydrolase,na,cGMP. Metal-binding
76,WDR4,A7E3S5,WDR4_BOVIN,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,WDR4,Bos taurus (Bovine),Reviewed,cellular response to DNA damage stimulus. tRNA (guanine-N7)-methylation. tRNA modification,na,DNA damage. tRNA processing,na
